modelo,MAE,RMSE,MAPE,R2,MAE_total_anual,MAPE_total_anual
Random_Forest,181.19355555555558,277.0439750145306,50.718207307572115,0.9205138729193405,764.2499999999997,6.222034841755385
Gradient_Boosting,192.29867314408247,291.7859398693655,55.315954778020384,0.9118296349326998,720.3234362001627,5.969820866340198
Ridge,231.57980085297788,311.9643546916153,85.71763105573935,0.8992131515904784,704.8388972219054,5.8519932151393
Media_Historica,874.6806666666666,984.802075749234,302.4637497815337,-0.004365595898014885,815.5999999999998,6.529897210758671
