anio_fiscal,segmento,transitos,fuente
2021,Gas_natural_GNL,537,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Gas_natural_GNL,374,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Gas_natural_GNL,326,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Gas_natural_GNL,115,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Gas_natural_GNL,61,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Pasajeros,227,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Pasajeros,17,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Pasajeros,129,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Pasajeros,251,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Pasajeros,205,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Pasajeros,214,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Otros,1438,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Otros,1170,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Otros,1560,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Otros,1730,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Otros,1572,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Otros,1689,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
