anio_fiscal,transitos_totales,toneladas_pcums_millones,peajes_millones_balboas,ingresos_totales_millones_balboas,fuente
2020,13369,475.2,2663.0,,"ACP - Informe Anual 2022, Gráficas 3 y 4, p. 34 (AF2020)"
2021,13342,516.7,2968.2,3958.6,"ACP - Informe Anual 2022, Gráficas 3 y 4, p. 34 y estados financieros (AF2021)"
2022,14239,518.8,3027.9,4322.6,"ACP - Informe Anual 2022, Gráficas 3 y 4, p. 34 y estados financieros (AF2022)"
2023,14080,511.1,3348.3,4968.0,"ACP - Informe Anual 2025, Gráficas 3 y 4, p. 45 (AF2023)"
2024,11240,423.1,3179.1,4986.0,"ACP - Informe Anual 2025, Gráficas 3 y 4, p. 45 (AF2024)"
2025,13404,489.2,4007.9,5704.6,"ACP - Informe Anual 2025, Gráficas 3 y 4, p. 45 (AF2025)"
